Channel,Energy,Counts(w),Counts(wo),N=1.273
1460,1,1,0,
1461,-1,2,2,
1462,-2,1,2,
1463,-4,0,3,
1464,0,1,1,
1465,0,0,0,
1466,1,1,0,
1467,0,0,0,
1468,3,4,1,
1469,0,1,1,
1470,-1,2,2,
1471,3,4,1,
1472,2,3,1,
1473,1,2,1,
1474,2,2,0,
1475,1,1,0,
1476,-1,2,2,
1477,1,1,0,
1478,0,3,2,
1479,-3,1,3,
1480,-2,1,2,
1481,1,2,1,
1482,-4,0,3,
1483,1,2,1,
1484,-1,0,1,
1485,2,2,0,
1486,1,2,1,
1487,-3,0,2,
1488,2,2,0,
1489,-2,2,3,
1490,-4,0,3,
1491,1,1,0,
1492,-1,0,1,
1493,-3,1,3,
1494,-3,0,2,
1495,1,4,2,
1496,-5,0,4,
1497,2,3,1,
1498,2,2,0,
1499,-2,2,3,
1500,1,2,1,
1501,3,3,0,
1502,-3,0,2,
1503,-1,2,2,
1504,0,0,0,
1505,1,1,0,
1506,-3,2,4,
1507,0,0,0,
1508,1,1,0,
1509,2,3,1,
1510,0,0,0,
1511,3,3,0,
1512,1,1,0,
1513,-1,2,2,
1514,-3,0,2,
1515,0,1,1,
1516,2,2,0,
1517,1,1,0,
1518,1,2,1,
1519,0,0,0,
1520,0,0,0,
1521,1,1,0,
1522,0,0,0,
1523,1,1,0,
1524,0,1,1,
1525,-3,0,2,
1526,0,1,1,
1527,1,1,0,
1528,2,2,0,
1529,1,1,0,
1530,-4,0,3,
1531,5,5,0,
1532,-1,0,1,
1533,1,2,1,
1534,1,1,0,
1535,1,1,0,
1536,0,0,0,
1537,-1,0,1,
1538,-1,0,1,
1539,3,4,1,
1540,0,0,0,
1541,4,4,0,
1542,-5,0,4,
1543,-3,0,2,
1544,1,1,0,
1545,1,1,0,
1546,1,1,0,
1547,4,4,0,
1548,-3,0,2,
1549,-3,0,2,
1550,-3,0,2,
1551,1,1,0,
1552,-3,0,2,
1553,-2,1,2,
1554,-4,0,3,
1555,1,4,2,
1556,-2,1,2,
1557,0,1,1,
1558,1,1,0,
1559,1,4,2,
1560,0,1,1,
1561,1,1,0,
1562,-1,0,1,
1563,0,1,1,
1564,-2,1,2,
1565,0,1,1,
1566,-3,0,2,
1567,2,3,1,
1568,-1,2,2,
1569,4,4,0,
1570,1,1,0,
1571,4,5,1,
1572,-1,2,2,
1573,-2,1,2,
1574,-3,5,6,
1575,-3,3,5,
1576,-4,2,5,
1577,0,0,0,
1578,2,6,3,
1579,0,3,2,
1580,2,3,1,
1581,-1,4,4,
1582,0,3,2,
1583,4,8,3,
1584,1,4,2,
1585,3,4,1,
1586,-3,3,5,
1587,-3,2,4,
1588,-3,1,3,
1589,0,3,2,
1590,0,5,4,
1591,2,8,5,
1592,-2,3,4,
1593,1,4,2,
1594,-1,2,2,
1595,0,5,4,
1596,-2,3,4,
1597,-1,4,4,
1598,4,8,3,
1599,3,6,2,
1600,-1,7,6,
1601,2,5,2,
1602,3,4,1,
1603,0,4,3,
1604,-2,3,4,
1605,5,5,0,
1606,2,5,2,
1607,0,3,2,
1608,2,6,3,
1609,1,4,2,
1610,-8,3,9,
1611,-2,2,3,
1612,-8,1,7,
1613,-3,6,7,
1614,-2,3,4,
1615,0,3,2,
1616,5,6,1,
1617,-2,2,3,
1618,8,8,0,
1619,0,1,1,
1620,1,2,1,
1621,-3,0,2,
1622,2,2,0,
1623,3,4,1,
1624,3,4,1,
1625,3,3,0,
1626,0,1,1,
1627,1,2,1,
1628,1,2,1,
1629,-3,1,3,
1630,-1,3,3,
1631,1,2,1,
1632,2,2,0,
1633,2,2,0,
1634,2,2,0,
1635,-1,2,2,
1636,1,1,0,
1637,0,1,1,
1638,-1,0,1,
1639,0,3,2,
1640,-3,0,2,
1641,-1,0,1,
1642,1,2,1,
1643,1,2,1,
1644,-1,0,1,
1645,0,0,0,
1646,0,1,1,
1647,2,2,0,
1648,0,1,1,
1649,2,2,0,
1650,1,1,0,
1651,1,1,0,
1652,0,0,0,
1653,0,0,0,
1654,0,0,0,
1655,0,0,0,
1656,-1,0,1,
1657,2,2,0,
1658,0,1,1,
1659,1,1,0,
1660,0,0,0,
1661,0,0,0,
1662,1,1,0,
1663,-1,0,1,
1664,0,0,0,
1665,0,0,0,
1666,0,0,0,
1667,0,0,0,
1668,0,0,0,
1669,-1,0,1,
1670,0,1,1,
1671,0,0,0,
1672,0,0,0,
1673,1,1,0,
1674,1,1,0,
1675,1,1,0,
1676,0,0,0,
1677,0,0,0,
1678,0,0,0,
1679,1,2,1,
1680,0,0,0,
1681,-1,0,1,
1682,2,2,0,
1683,0,1,1,
1684,0,0,0,
1685,0,0,0,
1686,0,0,0,
1687,-3,0,2,
1688,0,0,0,
1689,0,0,0,
1690,-1,0,1,
1691,0,0,0,
1692,-1,0,1,
1693,2,2,0,
1694,0,0,0,
1695,1,1,0,
1696,1,1,0,
1697,0,1,1,
1698,2,2,0,
1699,0,0,0,
1700,2,2,0,
1701,0,0,0,
1702,-2,1,2,
1703,0,0,0,
1704,1,1,0,
1705,1,1,0,
1706,0,0,0,
1707,0,0,0,
1708,-1,0,1,
1709,1,1,0,
1710,0,0,0,
1711,1,1,0,
1712,1,1,0,
1713,0,0,0,
1714,0,0,0,
1715,0,0,0,
1716,0,0,0,
1717,0,0,0,
1718,0,0,0,
1719,0,1,1,
1720,1,1,0,
1721,0,0,0,
1722,0,0,0,
1723,-3,0,2,
1724,-1,0,1,
1725,1,1,0,
1726,0,0,0,
1727,1,1,0,
1728,-1,0,1,
1729,0,0,0,
1730,0,0,0,
1731,-2,1,2,
1732,0,0,0,
1733,0,0,0,
1734,1,1,0,
1735,2,2,0,
1736,-1,0,1,
1737,-1,0,1,
1738,0,0,0,
1739,-1,0,1,
1740,0,0,0,
1741,0,0,0,
1742,-3,0,2,
1743,0,0,0,
1744,1,1,0,
1745,1,1,0,
1746,-1,0,1,
1747,1,1,0,
1748,0,0,0,
1749,0,0,0,
1750,1,1,0,
1751,0,0,0,
1752,0,0,0,
1753,0,0,0,
1754,1,1,0,
1755,0,0,0,
1756,0,0,0,
1757,0,1,1,
1758,0,0,0,
1759,0,0,0,
1760,-1,0,1,
1761,0,0,0,
1762,0,0,0,
1763,-4,0,3,
1764,0,0,0,
1765,0,0,0,
1766,0,0,0,
1767,0,0,0,
1768,1,1,0,
1769,0,0,0,
1770,1,1,0,
1771,0,0,0,
1772,0,0,0,
1773,1,1,0,
1774,0,0,0,
1775,0,0,0,
1776,1,1,0,
1777,0,1,1,
1778,0,0,0,
1779,0,1,1,
1780,-1,0,1,
1781,2,2,0,
1782,0,0,0,
1783,1,1,0,
1784,-3,0,2,
1785,-4,0,3,
1786,0,0,0,
1787,0,0,0,
1788,-3,0,2,
1789,-1,0,1,
1790,1,1,0,
1791,1,1,0,
1792,1,1,0,
1793,0,0,0,
1794,2,2,0,
1795,0,0,0,
1796,0,0,0,
1797,0,0,0,
1798,0,0,0,
1799,-1,0,1,
1800,1,1,0,
1801,0,0,0,
1802,0,0,0,
1803,0,0,0,
1804,0,0,0,
1805,1,1,0,
1806,-1,0,1,
1807,2,2,0,
1808,0,1,1,
1809,-4,0,3,
1810,0,0,0,
1811,1,1,0,
1812,1,1,0,
1813,0,0,0,
1814,0,0,0,
1815,-1,0,1,
1816,1,1,0,
1817,0,0,0,
1818,0,0,0,
1819,0,0,0,
1820,1,1,0,
1821,0,0,0,
1822,0,0,0,
1823,0,0,0,
1824,0,0,0,
1825,0,0,0,
1826,0,0,0,
1827,-1,0,1,
1828,0,0,0,
1829,0,0,0,
1830,1,1,0,
1831,1,1,0,
1832,1,1,0,
1833,0,0,0,
1834,0,0,0,
1835,1,1,0,
1836,1,1,0,
1837,0,0,0,
1838,0,0,0,
1839,1,1,0,
1840,0,0,0,
1841,0,0,0,
1842,0,0,0,
1843,0,0,0,
1844,-1,0,1,
1845,0,0,0,
1846,0,0,0,
1847,-1,0,1,
1848,0,0,0,
1849,0,0,0,
1850,0,0,0,
1851,0,0,0,
1852,0,0,0,
1853,0,0,0,
1854,0,0,0,
1855,-1,0,1,
1856,0,0,0,
1857,0,0,0,
1858,0,0,0,
1859,0,0,0,
1860,1,1,0,
1861,0,0,0,
1862,0,0,0,
1863,-1,0,1,
1864,0,0,0,
1865,0,0,0,
1866,0,0,0,
1867,2,2,0,
1868,0,0,0,
1869,0,0,0,
1870,0,0,0,
1871,0,0,0,
1872,1,1,0,
1873,1,1,0,
1874,-1,0,1,
1875,0,0,0,
1876,0,0,0,
1877,0,0,0,
1878,1,1,0,
1879,0,0,0,
1880,0,0,0,
1881,0,0,0,
1882,0,0,0,
1883,-3,0,2,
1884,0,0,0,
1885,2,2,0,
1886,1,1,0,
1887,1,1,0,
1888,1,1,0,
1889,-1,0,1,
1890,-1,0,1,
1891,1,1,0,
1892,1,1,0,
1893,0,1,1,
1894,-1,0,1,
1895,-1,0,1,
1896,-1,0,1,
1897,-1,0,1,
1898,0,0,0,
1899,0,0,0,
1900,2,2,0,
1901,0,0,0,
1902,0,0,0,
1903,0,0,0,
1904,0,1,1,
1905,0,0,0,
1906,0,1,1,
1907,0,0,0,
1908,0,0,0,
1909,-1,0,1,
1910,1,1,0,
1911,-1,0,1,
1912,0,0,0,
1913,0,0,0,
1914,1,1,0,
1915,0,0,0,
1916,0,0,0,
1917,0,0,0,
1918,0,0,0,
1919,0,0,0,
1920,0,0,0,
1921,0,0,0,
1922,0,0,0,
1923,0,0,0,
1924,-1,0,1,
1925,1,1,0,
1926,1,1,0,
1927,-1,0,1,
1928,0,0,0,
1929,0,0,0,
1930,1,1,0,
1931,0,0,0,
1932,1,2,1,
1933,0,0,0,
1934,0,0,0,
1935,-1,0,1,
1936,1,1,0,
1937,-1,0,1,
1938,-1,0,1,
1939,0,0,0,
1940,1,1,0,
1941,1,1,0,
1942,0,0,0,
1943,0,0,0,
1944,0,0,0,
1945,0,0,0,
1946,0,0,0,
1947,1,1,0,
1948,0,0,0,
1949,-1,0,1,
1950,-1,0,1,
1951,0,0,0,
1952,0,1,1,
1953,0,0,0,
1954,-1,0,1,
1955,-1,0,1,
1956,0,0,0,
1957,-1,0,1,
1958,0,0,0,
1959,0,0,0,
1960,1,1,0,
1961,0,0,0,
1962,0,0,0,
1963,0,0,0,
1964,1,1,0,
1965,0,0,0,
1966,0,0,0,
1967,0,0,0,
1968,0,1,1,
1969,0,0,0,
1970,0,0,0,
1971,0,0,0,
1972,0,0,0,
1973,-1,0,1,
1974,1,1,0,
1975,1,1,0,
1976,0,0,0,
1977,0,0,0,
1978,0,0,0,
1979,0,0,0,
1980,0,0,0,
1981,-1,0,1,
1982,-1,0,1,
1983,1,1,0,
1984,0,0,0,
1985,0,0,0,
1986,-1,0,1,
1987,0,0,0,
1988,0,0,0,
1989,0,0,0,
1990,0,0,0,
1991,0,0,0,
1992,0,0,0,
1993,-1,0,1,
1994,0,0,0,
1995,0,0,0,
1996,0,0,0,
1997,0,0,0,
1998,0,0,0,
1999,0,0,0,
2000,0,0,0,
2001,0,0,0,
2002,-3,0,2,
2003,0,0,0,
2004,2,2,0,
2005,0,0,0,
2006,2,2,0,
2007,1,1,0,
2008,0,0,0,
2009,0,0,0,
2010,0,0,0,
2011,1,1,0,
2012,0,0,0,
2013,1,1,0,
2014,0,0,0,
2015,0,0,0,
2016,0,0,0,
2017,0,0,0,
2018,0,0,0,
2019,1,1,0,
2020,1,1,0,
2021,0,0,0,
2022,0,0,0,
2023,0,0,0,
2024,0,0,0,
2025,0,0,0,
2026,-1,0,1,
2027,1,1,0,
2028,0,0,0,
2029,0,0,0,
2030,-1,0,1,
2031,0,0,0,
2032,0,0,0,
2033,0,0,0,
2034,0,0,0,
2035,-1,0,1,
2036,1,1,0,
2037,0,0,0,
2038,0,0,0,
2039,1,1,0,
2040,0,0,0,
2041,0,0,0,
2042,0,0,0,
2043,0,0,0,
2044,0,0,0,
2045,-1,0,1,
2046,1,1,0,
2047,1,1,0,
